name ,description,year,link ,taecher name,platform,topic,Course duration,level,rate,price
Facebook Ads & Instagram Ads Complete Course,Learn to run effective Facebook and Instagram ad campaigns.	,2024,https://www.udemy.com/course/facebook-instagram-advertising-course-marketing/?couponCode=KEEPLEARNING,tomas moravek ,Udemy,Social Media Advertising,6 weeks,Beginner,4.9,Paid
The Complete Digital Marketing Course 2024,A comprehensive overview of digital marketing for beginners.,2024,https://www.udemy.com/course/learn-digital-marketing-course/?couponCode=KEEPLEARNING,"tomas moravek , hazel owens and thomas talavera",Udemy,Digital Marketing,3 month,Beginner,4.8, Paid
Marketing Analytics for E-commerce,Master data analysis to make data-driven marketing decisions for your online store,2024,https://www.futurelearn.com/courses/uva-darden-marketing-analytics,Rajkumar Venkatesan ,FutureLearn,E-commerce Marketing,8 weeks,Intermediate,4.8,Paid
Digital Marketing Fundamentals ,Learn the core principles and strategies of digital marketing.,2024,https://www.coursera.org/learn/marketing-vendas-b2b,Sandra Lee, Coursera ,Digital Marketing,6 weeks,Beginner,4.8,Paid
Advanced SEO Techniques,Dive deep into advanced SEO techniques and strategies.,2023,https://www.udemy.com/course/advanced-seo-strategies/,Michael Carter,Udemy,SEO,5 weeks,Advanced,4.6,Paid
 Email Marketing Mastery,Master advanced email marketing strategies for maximum impact,2024,https://www.udemy.com/course/email-marketing-mastery-guide/?couponCode=KEEPLEARNING,Emily Davis,edX,Email Marketing	,4 weeks,Intermediate,4.8,Paid
Mobile App Marketing Essentials,Master the essentials of marketing mobile apps effectively.,2024,https://www.udemy.com/course/mobile-app-marketing-masterclass/,Arthur Policarpio ,Udemy,Mobile App Marketing,4 weeks,Beginner,4.6,Paid
Google Ads for Experienced Users,Build on your existing Google Ads knowledge and explore advanced campaign strategies.        ,2024,https://www.udemy.com/course/google-ads-mastery-for-beginners-2024/?couponCode=2021PM25,Abhijeet sarkar,Udemy,Advanced campaign strategies,7 hours,Intermediate,4.6,Paid
Marketing Automation        ,Master the art of automating marketing tasks to save time and improve efficiency.	,2024,https://www.coursera.org/projects/automate-blog-advertisements-zapier,Carmen Rojas, Coursera ,Marketing Automation        ,2 hours,Intermediate,4.5,Paid
Marketing Attribution Modeling        ,Master the art of attributing revenue to different marketing channels.	,2024,https://www.coursera.org/learn/data-analytics-methods-for-marketing,Anke Audenaert, Coursera ,Marketing Attribution Modeling	,12 hours, Beginner,4.7,Paid
International Digital Marketing        ,Explore strategies for marketing your business to a global audience.	,2024,https://www.coursera.org/learn/marketing-plan,Mike Yao,Coursera,International Digital Marketing	,19 hours,Intermediate,4.6,Paid
Customer Relationship Management (CRM) for Marketers        ,Understand how to leverage CRM systems to manage customer relationships.        ,2024,https://www.coursera.org/learn/marketing-analytics,Kevin Hartman,Coursera,Customer Relationship Management (CRM)	,20 hours,Intermediate,4.5,Paid
Marketing in the Metaverse        ,Explore marketing opportunities in the emerging metaverse.	,2024,https://www.coursera.org/learn/brand-awareness-digital-brand-activation,Khanya Modipa,Coursera,Marketing in the Metaverse	,2 hours,Intermediate,4.8,Paid
Data Visualization for Marketers        ,Learn how to create compelling data visualizations to communicate marketing insights.	,2024,https://www.coursera.org/projects/analyze-digital-marketing-spend-tableau,"Carmen Rojas",Coursera,Data Visualization for Marketers	,"2 hours",Intermediate,,Paid
